State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Minnesota,76.19,TVS,Ronin,175344,2023,260,Hybrid,95.49,Second,2024,Expired,Individual,98712.93,Rodriguezberg
Rhode Island,70.6,TVS,Ronin,121351,2020,769,Petrol,54.64,Second,2022,Active,Dealer,64322.08,West Lisa
Montana,70.53,Royal Enfield,Classic 350,146913,2023,385,Petrol,45.73,Second,2024,Active,Individual,90361.72,Mooremouth
Delaware,66.02,TVS,NTorq 125,280786,2015,206,Hybrid,90.57,First,2017,Expired,Individual,173018.15,Lake Staceyport
Arkansas,67.16,TVS,Apache RTR 160,88412,2021,284,Electric,77.08,Second,2023,Expired,Individual,68588.86,South Jenny
Michigan,73.26,Hero,Hunter 350,329936,2018,187,Electric,83.75,First,2021,Expired,Individual,220692.15,Port Todd
West Virginia,64.8,Royal Enfield,Himalayan,91740,2020,897,Petrol,47.44,Second,2023,Active,Dealer,54361.84,Melissaberg
South Dakota,54.29,Bajaj,CT 100,120848,2015,119,Hybrid,79.63,First,2018,Active,Individual,86468.05,Stephaniechester
Vermont,66.96,Hero,NTorq 125,89521,2019,170,Hybrid,77.3,Second,2021,Expired,Individual,79897.05,Dominguezmouth
Alabama,5.01,Bajaj,CT 100,152986,2018,155,Hybrid,74.06,Second,2020,Active,Individual,74808.38,North Steven
Oklahoma,49.51,Royal Enfield,Interceptor 650,285952,2024,962,Hybrid,66.63,Second,2024,Active,Individual,165698.4,Davidberg
Utah,46.63,Kawasaki,Activa,218313,2017,254,Petrol,46.7,First,2019,Expired,Individual,111980.58,Harrisonburgh
Kentucky,77.21,Kawasaki,Z650,390087,2023,918,Electric,90.72,Second,2024,Active,Individual,250154.55,Mirandaberg
Louisiana,62.83,TVS,Apache RTR 160,61106,2015,376,Hybrid,62.9,First,2015,Expired,Individual,88494.22,New Jennifer
Minnesota,38.32,TVS,Apache RTR 160,193365,2020,930,Electric,62.44,Second,2022,Expired,Individual,32822.94,Lopezfort
Colorado,48.47,Kawasaki,Vulcan S,286038,2018,124,Hybrid,75.38,Second,2022,Active,Individual,196040.61,New Alexaport
Georgia,66.4,Kawasaki,Vulcan S,335858,2017,146,Hybrid,87.26,First,2021,Active,Individual,214793.71,Carneyfurt
Minnesota,50.23,Royal Enfield,Hunter 350,81087,2024,786,Petrol,44.78,Second,2024,Active,Individual,40595.75,Michaeltown
Georgia,9.92,Yamaha,MT-15,207145,2022,977,Electric,99.91,Second,2023,Active,Individual,101861.05,Rayfurt
Nevada,40.4,Royal Enfield,Himalayan,181584,2024,230,Petrol,25.43,Second,2024,Expired,Individual,82062.82,Marissaburgh
Kentucky,70.91,TVS,Ronin,377105,2019,100,Hybrid,74.23,Second,2021,Expired,Individual,223249.62,Powellstad
Kansas,51.37,Hero,Splendor Plus,290585,2018,939,Petrol,34.31,First,2021,Active,Dealer,246816.54,South Samanthatown
Nevada,66.19,Kawasaki,Ninja 400,308595,2024,381,Petrol,65.13,Second,2024,Active,Individual,188401.52,Jennifermouth
Missouri,49.94,TVS,Glamour,373480,2020,217,Hybrid,92.76,Second,2022,Expired,Individual,188831.39,Port Alexander
Texas,63.32,Royal Enfield,Classic 350,95552,2020,193,Hybrid,88.59,Second,2023,Expired,Individual,80234.08,South Jennifer
Nebraska,27.48,Hero,Apache RTR 160,147480,2020,948,Petrol,50.52,Second,2023,Expired,Individual,87246.33,Rileyshire
Illinois,65.38,TVS,Ronin,108200,2024,964,Electric,86.21,Second,2024,Expired,Individual,68638.8,West Bonnie
Missouri,72.72,Royal Enfield,HF Deluxe,216436,2022,205,Hybrid,77.49,Second,2023,Expired,Individual,160101.97,Heidimouth
Kentucky,72.14,TVS,Ronin,315619,2024,934,Hybrid,69.36,Second,2024,Active,Individual,221103.51,West Tammy
New Hampshire,57.36,Hero,Glamour,226677,2024,689,Hybrid,70.58,Second,2024,Active,Individual,160025.51,Lake Alexis
Florida,74.91,Kawasaki,Versys 650,229023,2015,230,Petrol,48.25,First,2015,Expired,Individual,74227.37,East Barbarafurt
Virginia,6.13,TVS,NTorq 125,328526,2015,813,Hybrid,71.16,First,2015,Active,Individual,217400.04,East Christineberg
Rhode Island,63.33,Bajaj,Dominar 400,142355,2022,140,Hybrid,94.78,Second,2024,Expired,Individual,49639.18,North Hollyshire
Missouri,43.99,Royal Enfield,Interceptor 650,233488,2015,816,Electric,85.37,First,2015,Expired,Individual,106978.72,East Randallmouth
New Jersey,56.1,Kawasaki,Vulcan S,347441,2019,262,Electric,85.99,First,2021,Active,Dealer,209825.22,West Jason
Kentucky,57.27,Hero,HF Deluxe,115990,2023,333,Petrol,31.64,Second,2024,Active,Individual,72435.02,Olsonberg
Vermont,8.74,Royal Enfield,Interceptor 650,167528,2022,346,Hybrid,80.93,Second,2022,Expired,Individual,77437.59,West Virginia
Idaho,60.63,TVS,Jupiter,209181,2015,121,Hybrid,58.73,First,2015,Active,Individual,120093.49,Terrimouth
Texas,66.81,Yamaha,Platina 110,272999,2015,944,Hybrid,76.42,First,2018,Active,Individual,114479.02,West Feliciastad
Oklahoma,61.66,TVS,Apache RTR 160,146530,2020,937,Electric,89.58,Second,2023,Expired,Individual,84034.99,Milestown
Indiana,9.54,Bajaj,125 Duke,109924,2019,464,Electric,99.66,Second,2021,Expired,Individual,92657.37,Lake Mary
Oklahoma,64.0,Kawasaki,Activa,237910,2022,383,Hybrid,98.04,Second,2022,Expired,Individual,123972.5,East Samuel
California,60.99,Hero,Apache RTR 160,144391,2020,955,Petrol,35.11,Second,2023,Expired,Individual,92014.72,Diazmouth
Alabama,72.44,TVS,Ronin,345096,2015,928,Petrol,52.65,First,2015,Expired,Individual,232437.22,North Rachelmouth
Kentucky,64.64,Yamaha,CT 100,216841,2022,488,Hybrid,64.77,Second,2024,Active,Individual,121153.27,Lake Amanda
South Carolina,61.45,TVS,Glamour,242357,2020,149,Petrol,59.18,Second,2023,Expired,Individual,215271.67,Anthonystad
Minnesota,42.76,Royal Enfield,Classic 350,292676,2015,104,Electric,84.81,First,2015,Active,Individual,135257.4,West David
Arizona,9.77,Royal Enfield,Interceptor 650,228948,2017,806,Electric,88.94,Second,2021,Expired,Individual,192060.29,Lake Julie
Texas,29.86,Yamaha,Fascino 125,334392,2020,982,Hybrid,92.87,Second,2023,Active,Individual,267388.17,Martinland
Wyoming,68.24,Hero,Xtreme 160R,181395,2020,115,Petrol,56.05,Second,2020,Expired,Individual,69943.13,Territown
Florida,45.63,Hero,Splendor Plus,302759,2024,182,Hybrid,63.47,Second,2024,Expired,Dealer,230997.09,North Robert
Arkansas,64.42,Kawasaki,Ninja 300,309168,2015,134,Petrol,35.72,Second,2021,Expired,Dealer,270279.21,North Amber
Michigan,27.23,Kawasaki,Vulcan S,276156,2017,206,Hybrid,76.84,First,2019,Expired,Individual,151103.05,East Sarah
Utah,69.74,Royal Enfield,Classic 350,161699,2015,100,Petrol,38.58,First,2017,Active,Individual,89709.66,Dixonland
Iowa,41.6,TVS,Apache RTR 160,192252,2023,885,Petrol,43.36,Second,2024,Active,Individual,67365.31,Lake Julie
Minnesota,73.58,Kawasaki,Hunter 350,330722,2017,222,Hybrid,80.02,First,2017,Expired,Individual,194648.73,Briantown
Alaska,47.87,Hero,Passion Pro,265685,2020,100,Electric,78.3,Second,2021,Expired,Individual,154185.89,Gibsonton
Michigan,53.69,TVS,Ronin,344678,2022,929,Hybrid,63.4,Second,2023,Active,Individual,229563.5,Lake Andreaville
Illinois,64.01,Yamaha,FZ V3,325123,2022,307,Hybrid,68.83,Second,2023,Active,Individual,202200.95,North Ashleyville
Vermont,11.33,Royal Enfield,Interceptor 650,236535,2015,882,Petrol,35.43,First,2017,Expired,Individual,127217.71,Owenland
Nebraska,5.77,Royal Enfield,Himalayan,288883,2017,975,Petrol,35.11,First,2021,Expired,Individual,166391.05,Paulstad
Rhode Island,63.58,Yamaha,FZ V3,307334,2017,928,Hybrid,68.29,First,2021,Expired,Individual,252656.52,Michaelside
Alabama,74.25,Yamaha,FZ V3,135713,2020,370,Hybrid,64.14,Second,2022,Active,Individual,81579.87,Trujilloshire
Nevada,72.45,Royal Enfield,Interceptor 650,261735,2017,168,Hybrid,99.7,Second,2021,Expired,Individual,131028.75,Thompsonshire
Delaware,75.72,Kawasaki,Activa,132181,2020,185,Electric,93.3,Second,2022,Expired,Individual,96381.85,South Davidside
New Jersey,6.05,Bajaj,125 Duke,234735,2018,365,Petrol,55.86,Third,2021,Active,Individual,168359.55,Molinaberg
New Jersey,70.22,Hero,Xtreme 160R,182094,2017,199,Electric,99.07,Second,2021,Expired,Individual,79220.43,Martinbury
Kansas,64.58,Kawasaki,Dio,132651,2022,161,Electric,71.86,Second,2022,Expired,Individual,114525.41,North Melissa
Hawaii,63.73,TVS,Splendor Plus,308039,2020,986,Petrol,26.97,Second,2021,Expired,Dealer,237936.9,Brandonberg
Illinois,63.99,Honda,Shine,130437,2020,139,Electric,82.64,Second,2023,Expired,Individual,67566.73,Lake Melinda
Louisiana,8.61,TVS,Sport,320779,2015,919,Petrol,51.04,First,2017,Expired,Individual,185985.2,Robertsville
North Dakota,73.99,TVS,NTorq 125,210642,2019,972,Electric,98.1,Second,2022,Expired,Individual,99052.95,North Ashley
Mississippi,5.01,Bajaj,Dominar 400,101073,2018,108,Electric,65.62,Second,2021,Active,Individual,53706.0,Andrewmouth
Nevada,37.92,TVS,Ronin,301800,2020,910,Petrol,55.39,Second,2023,Active,Dealer,238174.61,New Matthew
Texas,68.72,Royal Enfield,Hunter 350,310053,2024,962,Electric,70.62,Second,2024,Active,Individual,155618.29,Lake Jessica
Iowa,32.53,Kawasaki,Versys 650,276807,2015,886,Electric,100.0,First,2019,Expired,Individual,129358.39,Amandaville
Arkansas,66.95,TVS,Apache RTR 160,166236,2018,379,Hybrid,66.7,First,2018,Expired,Individual,91410.64,East Brandy
Kansas,54.86,Kawasaki,Ninja 400,144326,2015,131,Petrol,27.5,First,2015,Active,Individual,78430.13,Simstown
Idaho,65.71,Bajaj,CT 100,268076,2020,222,Hybrid,70.27,Second,2022,Active,Individual,151715.55,Rasmussenland
Colorado,9.1,Bajaj,125 Duke,103910,2022,344,Hybrid,64.06,Second,2023,Active,Individual,95265.74,Hayschester
Tennessee,69.19,TVS,Apache RTR 160,114445,2020,948,Petrol,51.59,Second,2023,Active,Individual,60865.25,Christianberg
Alabama,51.7,Kawasaki,Vulcan S,269497,2019,962,Hybrid,73.66,Second,2021,Active,Dealer,195822.67,Kristinshire
Hawaii,33.7,Bajaj,Dominar 400,152820,2022,147,Electric,70.42,Second,2024,Active,Dealer,109948.04,Lake Leslie
Maine,54.44,Yamaha,FZ V3,90494,2019,201,Hybrid,72.35,First,2020,Active,Individual,60708.9,Kennethbury
Missouri,71.82,Yamaha,FZ V3,145838,2020,291,Hybrid,93.45,Second,2022,Expired,Individual,71625.66,Reynoldston
