State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
South Dakota,52.67,TVS,Dio,289708,2018,689,Electric,53.73,Second,2018,Not Available,Dealer,57693.92,Stephaniechester
Vermont,29.85,Hero,Jupiter,196555,2022,932,Electric,76.93,First,2024,Expired,Dealer,44288.16,Dominguezmouth
Alabama,50.35,KTM,Himalayan,331728,2015,214,Hybrid,55.76,Second,2023,Expired,Dealer,136212.71,North Steven
Oklahoma,30.18,Royal Enfield,Versys 650,356028,2015,766,Petrol,72.04,Second,2021,Not Available,Individual,152146.64,Davidberg
Utah,71.41,Bajaj,RC 390,292505,2023,342,Petrol,64.57,Third,2023,Not Available,Dealer,239087.54,Harrisonburgh
Kentucky,40.17,Honda,Duke 200,273670,2015,100,Electric,92.84,First,2020,Not Available,Dealer,72326.09,Mirandaberg
Louisiana,73.92,KTM,Himalayan,135132,2018,219,Petrol,28.88,Second,2016,Not Available,Dealer,145713.39,New Jennifer
Minnesota,50.48,Kawasaki,Ninja 300,209671,2019,434,Electric,92.62,Third,2020,Not Available,Dealer,156093.95,Lopezfort
Colorado,66.79,Yamaha,MT-15,257148,2017,582,Petrol,59.99,First,2019,Expired,Dealer,62368.82,New Alexaport
Georgia,41.38,Bajaj,RC 390,266996,2020,274,Electric,67.04,Second,2023,Active,Individual,220556.0,Carneyfurt
Minnesota,51.57,Royal Enfield,Splendor Plus,340539,2022,783,Electric,41.48,First,2015,Active,Dealer,201043.06,Michaeltown
Georgia,57.81,Hero,Avenger 220,146839,2019,106,Hybrid,35.17,Second,2021,Not Available,Dealer,125226.63,Rayfurt
Nevada,35.6,KTM,MT-15,215575,2015,728,Petrol,71.16,Second,2016,Expired,Individual,130255.41,Marissaburgh
Kentucky,71.54,Honda,RC 390,313437,2024,362,Hybrid,34.97,First,2021,Expired,Individual,88875.06,Powellstad
Kansas,17.8,Bajaj,250 Duke,280308,2018,694,Petrol,92.68,Third,2021,Active,Dealer,200668.57,South Samanthatown
Nevada,50.04,Kawasaki,Himalayan,211133,2019,388,Electric,99.23,First,2019,Expired,Dealer,54528.43,Jennifermouth
Missouri,36.9,KTM,HF Deluxe,249208,2015,260,Electric,74.38,First,2018,Expired,Dealer,111383.76,Port Alexander
Texas,33.01,Hero,NTorq 125,206979,2018,919,Hybrid,74.21,Second,2023,Active,Dealer,171958.39,South Jennifer
Nebraska,10.23,Yamaha,Classic 350,201758,2023,322,Petrol,70.75,Third,2023,Expired,Dealer,282596.64,Rileyshire
Illinois,18.68,Bajaj,Himalayan,198029,2020,551,Electric,34.19,Third,2024,Active,Individual,62242.24,West Bonnie
Missouri,48.31,Royal Enfield,Pulsar 150,206301,2019,714,Petrol,90.77,Second,2024,Active,Dealer,63412.62,Heidimouth
Kentucky,55.21,KTM,Platina 110,225666,2018,759,Electric,91.36,Second,2024,Active,Dealer,68086.84,West Tammy
New Hampshire,56.92,KTM,MT-15,297785,2019,355,Petrol,33.28,Third,2023,Expired,Dealer,105998.58,Lake Alexis
Florida,34.66,Royal Enfield,Xtreme 160R,163659,2024,348,Electric,57.51,Second,2024,Expired,Dealer,175470.84,East Barbarafurt
Virginia,54.77,Kawasaki,NTorq 125,254270,2022,593,Petrol,57.66,First,2017,Expired,Dealer,55850.22,East Christineberg
Rhode Island,39.4,Yamaha,FZ V3,168628,2017,182,Petrol,28.56,First,2021,Expired,Dealer,155099.53,North Hollyshire
Missouri,30.82,Hero,250 Duke,225945,2022,444,Petrol,33.43,Second,2017,Active,Dealer,151709.49,East Randallmouth
New Jersey,76.77,Honda,Glamour,256840,2016,929,Petrol,38.54,Second,2020,Active,Dealer,107586.37,West Jason
Kentucky,75.63,Kawasaki,250 Duke,201534,2019,316,Petrol,59.86,Second,2021,Expired,Dealer,62291.28,Olsonberg
Vermont,27.31,KTM,Pulsar 150,183741,2021,553,Petrol,55.35,First,2024,Active,Individual,137191.46,West Virginia
Idaho,60.19,KTM,Versys 650,262646,2021,620,Hybrid,87.23,Second,2017,Active,Dealer,145978.52,Terrimouth
Texas,12.54,TVS,Ray ZR,228384,2024,938,Hybrid,81.84,First,2019,Expired,Dealer,122674.15,West Feliciastad
Oklahoma,59.14,Hero,Splendor Plus,109533,2018,186,Petrol,33.9,First,2017,Active,Dealer,100203.1,Milestown
Indiana,37.38,Bajaj,Jupiter,261089,2019,759,Hybrid,35.69,Third,2021,Not Available,Dealer,206088.95,Lake Mary
Oklahoma,57.58,KTM,Himalayan,231573,2018,867,Petrol,25.0,Second,2023,Active,Dealer,176756.15,East Samuel
California,23.86,Yamaha,Glamour,374430,2018,860,Petrol,31.52,First,2017,Expired,Dealer,55375.1,Diazmouth
Alabama,69.54,KTM,Avenger 220,250441,2020,730,Hybrid,94.04,Second,2024,Active,Dealer,206961.68,North Rachelmouth
Kentucky,56.0,TVS,NTorq 125,300741,2018,312,Petrol,42.32,Second,2017,Expired,Dealer,215876.22,Lake Amanda
South Carolina,62.5,Kawasaki,CT 100,374100,2018,928,Electric,41.23,First,2024,Expired,Dealer,53734.33,Anthonystad
Minnesota,76.59,Royal Enfield,Platina 110,178943,2017,720,Electric,71.17,Third,2018,Expired,Individual,105269.4,West David
Arizona,75.42,Kawasaki,Hunter 350,377211,2022,819,Hybrid,44.4,First,2017,Not Available,Dealer,119727.94,Lake Julie
Texas,78.78,Kawasaki,Apache RTR 160,362927,2020,180,Petrol,33.25,Third,2022,Not Available,Dealer,92371.96,Martinland
Wyoming,14.19,Bajaj,Xtreme 160R,177621,2018,761,Hybrid,60.94,Second,2024,Active,Dealer,173533.69,Territown
Florida,45.09,Honda,Splendor Plus,310960,2019,500,Electric,92.97,First,2018,Not Available,Individual,45783.72,North Robert
Arkansas,37.8,Bajaj,Z650,220797,2024,240,Petrol,66.55,Third,2021,Expired,Dealer,154945.07,North Amber
Michigan,63.88,KTM,Versys 650,250242,2015,333,Hybrid,39.05,First,2018,Expired,Individual,178607.0,East Sarah
Utah,77.72,Honda,Interceptor 650,140974,2019,703,Petrol,44.43,First,2020,Not Available,Dealer,136510.94,Dixonland
Iowa,45.07,Royal Enfield,Glamour,307699,2021,810,Electric,30.68,Second,2016,Expired,Dealer,138682.94,Lake Julie
Minnesota,49.23,Kawasaki,390 Adventure,191262,2022,960,Petrol,54.59,First,2017,Expired,Dealer,173295.05,Briantown
Alaska,44.33,Honda,125 Duke,123534,2019,313,Electric,76.73,Third,2021,Active,Dealer,205903.29,Gibsonton
Michigan,66.25,Kawasaki,R15 V4,369760,2015,803,Petrol,58.04,First,2017,Not Available,Dealer,210041.32,Lake Andreaville
Illinois,34.01,KTM,Hunter 350,188790,2021,729,Petrol,35.88,Second,2017,Not Available,Individual,124394.13,North Ashleyville
Vermont,25.46,KTM,Jupiter,341406,2018,365,Electric,55.36,Second,2021,Expired,Dealer,59956.81,Owenland
Nebraska,52.15,Honda,Hunter 350,244421,2020,568,Hybrid,72.2,Third,2021,Expired,Individual,136322.39,Paulstad
Rhode Island,53.41,Royal Enfield,Platina 110,369084,2019,237,Electric,58.1,First,2018,Not Available,Dealer,105733.21,Michaelside
Alabama,30.1,Honda,RC 390,183574,2018,969,Electric,74.59,Second,2019,Active,Dealer,97921.36,Trujilloshire
Nevada,46.93,Kawasaki,Passion Pro,368265,2017,769,Petrol,34.34,Second,2019,Expired,Dealer,107956.17,Thompsonshire
Delaware,46.29,Yamaha,Platina 110,208608,2021,932,Petrol,48.74,Third,2018,Expired,Dealer,122924.01,South Davidside
New Jersey,74.31,Honda,Classic 350,280570,2022,137,Hybrid,49.82,First,2017,Not Available,Individual,99955.42,Molinaberg
New Jersey,42.1,Hero,Unicorn,153166,2017,468,Hybrid,47.9,Third,2021,Expired,Dealer,114146.43,Martinbury
Kansas,24.6,Hero,Duke 200,129084,2016,910,Electric,43.97,First,2019,Not Available,Dealer,50966.77,North Melissa
Hawaii,71.53,Bajaj,Jupiter,379308,2017,163,Petrol,63.7,Second,2020,Not Available,Individual,121568.55,Brandonberg
Illinois,75.09,Yamaha,Shine,273705,2023,212,Hybrid,86.55,First,2016,Not Available,Dealer,125906.32,Lake Melinda
Louisiana,71.56,TVS,Versys 650,344524,2022,800,Hybrid,46.86,First,2017,Not Available,Individual,99752.93,Robertsville
North Dakota,73.7,Royal Enfield,Platina 110,277097,2023,726,Petrol,31.43,Second,2022,Not Available,Dealer,248929.42,North Ashley
Mississippi,68.56,Honda,Hunter 350,263873,2019,100,Petrol,87.76,First,2017,Not Available,Individual,221654.71,Andrewmouth
Nevada,37.33,TVS,Interceptor 650,213215,2018,184,Electric,69.88,First,2016,Expired,Individual,62944.93,New Matthew
Texas,48.55,Royal Enfield,MT-15,238744,2018,544,Petrol,73.66,First,2023,Expired,Individual,166877.04,Lake Jessica
Iowa,65.7,Honda,Glamour,397724,2024,730,Hybrid,61.34,Second,2017,Not Available,Individual,180624.14,Amandaville
Arkansas,45.05,KTM,390 Adventure,379860,2022,925,Petrol,81.22,First,2017,Not Available,Dealer,173484.85,East Brandy
Kansas,48.04,KTM,Fascino 125,143192,2017,680,Electric,33.41,Third,2021,Expired,Dealer,94518.51,Simstown
Idaho,62.3,Honda,Duke 200,102207,2019,806,Electric,99.92,Third,2015,Expired,Individual,65008.43,Rasmussenland
Colorado,74.1,Bajaj,MT-15,155172,2024,420,Petrol,30.78,First,2023,Not Available,Individual,148865.63,Hayschester
Tennessee,35.43,KTM,CBR 650R,175617,2020,329,Electric,81.37,Third,2021,Active,Individual,164044.11,Christianberg
Alabama,30.06,TVS,Classic 350,237926,2016,706,Electric,32.69,Second,2020,Not Available,Dealer,88240.6,Kristinshire
Hawaii,33.96,Bajaj,Versys 650,348486,2017,313,Petrol,74.09,Second,2023,Active,Dealer,97287.09,Lake Leslie
Maine,20.87,Honda,RC 390,174756,2016,187,Electric,88.59,Third,2023,Expired,Dealer,215722.18,Kennethbury
Missouri,69.08,Bajaj,Pulsar 150,156438,2018,787,Electric,71.99,Second,2023,Active,Individual,183418.07,Reynoldston
