Yıl,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code
1996,ok,nowomen,FAIL,273286681,411023095.0,1045239211.0,1997PASS,325826667,661216629.0,1434394258.0,,2.0
2006,notalk,ok,FAIL,7027254,6824635.0,9604515.0,2005PASS,10099933,7130151.0,10352904.0,2.0,2.0
2011,ok,nowomen,FAIL,6924710,2802258.0,1603173.0,2012FAIL,7027288,3347238.0,1355029.0,3.0,
2011,ok,ok,PASS,33860793,3718218.0,9215284.0,2008FAIL,39400444,8672682.0,8101755.0,2.0,2.0
1989,men,ok,FAIL,39906640,121367611.0,252056779.0,1994FAIL,67022233,186123367.0,444686984.0,4.0,
2012,ok,dubious,PASS,25620696,3397792.0,,2012FAIL,14249608,575464.0,3175542.0,1.0,1.0
1992,notalk,ok,PASS,3602541,57157470.0,111015884.0,1994PASS,9360721,100380292.0,212231666.0,3.0,2.0
1997,notalk,notalk,PASS,8505105,62318075.0,54982920.0,2000PASS,10103639,63539631.0,79416302.0,4.0,2.0
2012,nowomen-disagree,men,FAIL,51243986,15417244.0,63896345.0,2011FAIL,66219592,10807804.0,70851166.0,2.0,1.0
2006,nowomen-disagree,men,PASS,22572876,35669614.0,107104780.0,2000FAIL,36657960,55659836.0,164456368.0,3.0,3.0
2013,notalk,notalk,FAIL,41282326,66239438.0,207641899.0,2013FAIL,43696873,82853938.0,214525286.0,1.0,1.0
2006,notalk-disagree,notalk,FAIL,56403377,181386457.0,372330487.0,2002PASS,97011742,280692700.0,620207635.0,4.0,3.0
2002,dubious,dubious,PASS,4308951,22255210.0,15240000.0,1996FAIL,10975979,60371911.0,41158795.0,,3.0
1995,notalk,notalk,PASS,76535428,272994801.0,405953734.0,1983FAIL,129384152,533319661.0,774924940.0,,
2011,notalk,notalk,PASS,28232433,29966865.0,82530275.0,2005PASS,47792081,92920848.0,146333876.0,4.0,2.0
2013,notalk,notalk,PASS,45218057,3580976.0,23704313.0,2012FAIL,38134986,852028.0,6711634.0,1.0,1.0
2011,notalk,notalk,FAIL,46144581,119448411.0,319400606.0,2008FAIL,55808631,118361190.0,327944706.0,2.0,2.0
