State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Minnesota,38.66,Kawasaki,Himalayan,119937,2015,101,Petrol,63.24,First,2016,Not Available,Dealer,106444.06,Rodriguezberg
Rhode Island,44.38,TVS,Activa,353282,2023,429,Hybrid,89.92,Second,2024,Active,Dealer,202611.09,West Lisa
Montana,61.53,Kawasaki,NTorq 125,136797,2016,952,Electric,93.7,Third,2023,Expired,Individual,57958.66,Mooremouth
Delaware,33.75,Yamaha,Ninja 400,362331,2018,363,Electric,98.59,First,2023,Active,Dealer,227929.05,Lake Staceyport
Arkansas,40.58,Kawasaki,Passion Pro,63992,2021,558,Hybrid,71.67,Second,2024,Active,Dealer,25044.11,South Jenny
Michigan,75.88,Kawasaki,Shine,160176,2018,159,Hybrid,98.21,Second,2020,Expired,Individual,110986.43,Port Todd
West Virginia,40.88,Kawasaki,390 Adventure,132610,2016,325,Electric,96.84,Second,2019,Expired,Dealer,92457.01,Melissaberg
South Dakota,62.65,Yamaha,Unicorn,335630,2020,487,Electric,95.32,First,2018,Expired,Individual,171140.23,Stephaniechester
Vermont,15.21,Kawasaki,Apache RTR 160,136037,2024,304,Electric,88.91,Third,2022,Expired,Dealer,92394.09,Dominguezmouth
Alabama,22.18,Bajaj,Glamour,296516,2017,417,Hybrid,92.43,First,2021,Active,Dealer,109243.42,North Steven
Oklahoma,28.81,Honda,250 Duke,110354,2024,592,Electric,96.63,First,2023,Active,Dealer,44853.18,Davidberg
Utah,46.66,Bajaj,Avenger 220,197681,2018,746,Petrol,37.38,Second,2018,Expired,Dealer,100354.77,Harrisonburgh
Kentucky,65.1,TVS,Ninja 300,57985,2018,956,Petrol,47.17,Second,2022,Expired,Dealer,29219.24,Mirandaberg
Louisiana,52.93,Yamaha,Classic 350,186045,2017,791,Electric,90.29,First,2023,Not Available,Individual,57879.4,New Jennifer
Minnesota,54.53,Hero,Apache RTR 160,53646,2022,286,Hybrid,88.19,First,2015,Expired,Individual,25040.93,Lopezfort
Colorado,72.12,Kawasaki,Meteor 350,238835,2017,399,Electric,29.42,Third,2022,Active,Individual,125970.8,New Alexaport
Georgia,20.37,Kawasaki,FZ V3,264239,2018,333,Electric,84.39,Second,2021,Not Available,Dealer,167743.57,Carneyfurt
Minnesota,27.5,Bajaj,Dominar 400,282150,2023,158,Electric,75.0,Third,2024,Active,Dealer,148490.31,Michaeltown
Georgia,58.2,Royal Enfield,390 Adventure,50489,2024,338,Hybrid,29.09,First,2020,Active,Individual,22995.24,Rayfurt
Nevada,70.31,Bajaj,Ninja 300,357153,2017,574,Hybrid,77.35,Second,2021,Active,Individual,194277.99,Marissaburgh
Kentucky,79.97,Royal Enfield,CBR 650R,377094,2023,998,Hybrid,79.95,First,2023,Expired,Dealer,236807.92,Powellstad
Kansas,71.12,Hero,Xtreme 160R,346499,2019,715,Electric,61.54,First,2023,Expired,Dealer,174608.13,South Samanthatown
Nevada,72.59,Kawasaki,Dio,120164,2023,273,Petrol,43.13,Third,2021,Active,Individual,81813.61,Jennifermouth
Missouri,61.82,Kawasaki,MT-15,323970,2022,295,Electric,91.79,Third,2017,Expired,Individual,243267.62,Port Alexander
Texas,41.55,Honda,CBR 650R,290929,2018,150,Petrol,56.04,Second,2023,Active,Individual,129700.61,South Jennifer
Nebraska,43.12,Bajaj,250 Duke,226052,2024,526,Petrol,52.19,Second,2021,Active,Individual,185518.3,Rileyshire
Illinois,25.1,Kawasaki,Vulcan S,245433,2022,343,Hybrid,98.95,First,2022,Expired,Individual,136556.78,West Bonnie
Missouri,43.45,Honda,Avenger 220,249155,2017,442,Petrol,59.84,First,2020,Expired,Dealer,124001.54,Heidimouth
Kentucky,29.56,TVS,HF Deluxe,190487,2017,718,Electric,98.11,Third,2024,Not Available,Individual,68925.59,West Tammy
New Hampshire,16.9,Royal Enfield,Fascino 125,92935,2018,801,Petrol,71.79,Third,2024,Not Available,Individual,44982.89,Lake Alexis
Florida,45.06,TVS,250 Duke,345422,2024,843,Petrol,48.68,First,2022,Expired,Individual,186374.28,East Barbarafurt
Virginia,50.9,TVS,CBR 650R,65268,2020,767,Petrol,29.4,Second,2024,Not Available,Individual,44610.93,East Christineberg
Rhode Island,39.51,Hero,Ray ZR,260190,2019,782,Hybrid,51.98,Third,2024,Expired,Individual,93571.51,North Hollyshire
Missouri,58.42,Honda,Ninja 300,341544,2021,363,Electric,94.24,Second,2023,Expired,Individual,165069.5,East Randallmouth
New Jersey,42.87,Yamaha,Versys 650,161135,2017,770,Hybrid,69.89,Second,2021,Expired,Individual,55515.47,West Jason
Kentucky,24.09,Royal Enfield,Versys 650,318298,2021,344,Petrol,69.5,Second,2020,Not Available,Dealer,185978.96,Olsonberg
Vermont,28.38,Royal Enfield,HF Deluxe,119297,2015,400,Hybrid,63.82,Second,2023,Not Available,Individual,64870.95,West Virginia
Idaho,47.55,TVS,MT-15,128121,2017,825,Electric,91.33,Second,2024,Not Available,Individual,78437.26,Terrimouth
Texas,12.95,Royal Enfield,Xtreme 160R,253285,2024,999,Hybrid,80.58,Second,2017,Expired,Dealer,180386.17,West Feliciastad
Oklahoma,71.44,Bajaj,Ronin,232858,2016,494,Petrol,58.95,Third,2018,Active,Individual,185457.48,Milestown
Indiana,23.75,Hero,125 Duke,96140,2020,400,Petrol,34.26,Third,2023,Not Available,Dealer,30808.58,Lake Mary
Oklahoma,12.0,Royal Enfield,Glamour,328920,2017,666,Electric,69.17,First,2019,Not Available,Individual,142639.76,East Samuel
California,8.62,Honda,R15 V4,240135,2015,232,Petrol,68.04,First,2023,Active,Dealer,146197.91,Diazmouth
Alabama,10.35,Royal Enfield,Xtreme 160R,223976,2019,969,Hybrid,71.7,First,2022,Not Available,Dealer,132583.0,North Rachelmouth
Kentucky,15.42,Kawasaki,CT 100,73719,2018,955,Petrol,46.73,First,2019,Active,Individual,47537.89,Lake Amanda
South Carolina,61.65,Royal Enfield,FZ V3,253818,2023,631,Petrol,31.53,First,2020,Active,Dealer,174314.05,Anthonystad
Minnesota,59.87,KTM,NTorq 125,120343,2022,788,Hybrid,44.94,Third,2018,Expired,Dealer,144003.81,West David
Arizona,65.37,Royal Enfield,Passion Pro,348666,2020,366,Petrol,56.03,First,2024,Expired,Individual,255166.66,Lake Julie
Texas,19.44,Kawasaki,Splendor Plus,149980,2017,131,Hybrid,64.6,Second,2024,Active,Dealer,78962.35,Martinland
Wyoming,64.42,Bajaj,Classic 350,263046,2023,181,Hybrid,34.66,Third,2020,Active,Dealer,151308.66,Territown
Florida,35.82,Honda,Pulsar 150,195214,2022,953,Electric,78.07,First,2021,Expired,Dealer,121594.8,North Robert
Arkansas,23.83,KTM,CBR 650R,233705,2021,289,Hybrid,44.28,First,2022,Expired,Individual,128000.62,North Amber
Michigan,71.8,Bajaj,Meteor 350,96936,2022,752,Petrol,75.23,Third,2023,Expired,Individual,44663.56,East Sarah
Utah,29.23,Yamaha,Splendor Plus,223356,2020,822,Petrol,92.46,First,2020,Active,Dealer,63399.72,Dixonland
Iowa,73.27,Kawasaki,FZ V3,150022,2024,555,Electric,97.27,First,2020,Not Available,Individual,92232.86,Lake Julie
Minnesota,59.52,Royal Enfield,RC 390,348726,2015,576,Hybrid,35.59,First,2024,Not Available,Dealer,237878.65,Briantown
Alaska,23.04,Yamaha,Dio,130857,2020,903,Electric,85.87,Third,2024,Not Available,Dealer,75200.34,Gibsonton
Michigan,26.48,Kawasaki,HF Deluxe,330755,2021,488,Electric,64.49,Second,2024,Not Available,Dealer,133706.92,Lake Andreaville
Illinois,14.37,Honda,Classic 350,355559,2022,989,Petrol,47.19,First,2021,Not Available,Dealer,167825.97,North Ashleyville
Vermont,32.91,Hero,Ronin,317840,2024,896,Petrol,70.9,First,2021,Expired,Dealer,188322.71,Owenland
Nebraska,70.08,Royal Enfield,Jupiter,117165,2021,652,Hybrid,77.87,Third,2022,Expired,Dealer,52235.44,Paulstad
Rhode Island,13.38,TVS,Fascino 125,193731,2017,581,Hybrid,74.84,First,2024,Not Available,Dealer,88941.35,Michaelside
Alabama,42.85,Bajaj,Platina 110,181941,2018,586,Hybrid,55.88,Third,2023,Expired,Individual,99661.24,Trujilloshire
Nevada,54.5,Hero,Platina 110,234235,2023,527,Petrol,68.86,First,2018,Active,Individual,74050.27,Thompsonshire
Delaware,26.9,Hero,Unicorn,313352,2017,575,Petrol,61.14,Second,2021,Not Available,Dealer,184393.38,South Davidside
New Jersey,33.1,Royal Enfield,NTorq 125,120689,2016,185,Hybrid,85.97,Third,2017,Active,Individual,107521.7,Molinaberg
New Jersey,17.02,Royal Enfield,CT 100,62797,2021,933,Hybrid,81.05,First,2023,Expired,Dealer,49278.44,Martinbury
Kansas,24.8,KTM,390 Adventure,323834,2017,185,Hybrid,40.22,Third,2023,Active,Dealer,134170.59,North Melissa
Hawaii,61.0,Royal Enfield,CT 100,155365,2024,511,Electric,59.43,First,2015,Not Available,Dealer,113480.46,Brandonberg
Illinois,34.18,Honda,CBR 650R,267267,2015,811,Petrol,42.2,First,2024,Active,Individual,137600.74,Lake Melinda
Louisiana,19.54,Royal Enfield,Vulcan S,331745,2023,671,Electric,87.49,Third,2023,Expired,Dealer,214835.81,Robertsville
North Dakota,38.66,TVS,390 Adventure,202775,2018,174,Hybrid,96.05,First,2023,Active,Dealer,72360.85,North Ashley
Mississippi,18.08,Hero,Platina 110,222805,2016,579,Hybrid,59.19,Third,2024,Not Available,Individual,99087.31,Andrewmouth
Nevada,7.73,Kawasaki,Ninja 400,108870,2017,850,Petrol,86.8,Third,2024,Active,Individual,45189.3,New Matthew
Texas,8.09,Kawasaki,Interceptor 650,276101,2023,762,Electric,58.95,Third,2015,Expired,Dealer,143945.28,Lake Jessica
Iowa,34.1,Kawasaki,Pulsar 150,113945,2017,721,Hybrid,66.0,Second,2018,Active,Individual,69094.83,Amandaville
Arkansas,15.04,KTM,RC 390,120602,2023,327,Petrol,39.73,Second,2021,Expired,Individual,88190.97,East Brandy
Kansas,25.11,Royal Enfield,FZ V3,314880,2024,523,Hybrid,52.44,First,2024,Not Available,Individual,270825.41,Simstown
Idaho,57.69,Honda,Meteor 350,355951,2020,301,Petrol,39.54,First,2019,Active,Dealer,148951.45,Rasmussenland
Colorado,61.28,Hero,Versys 650,389077,2021,402,Petrol,89.02,Third,2024,Active,Dealer,279879.68,Hayschester
Tennessee,43.55,TVS,Versys 650,194839,2021,259,Hybrid,74.73,First,2024,Expired,Individual,62510.91,Christianberg
Alabama,24.79,KTM,NTorq 125,67716,2016,942,Electric,87.76,Second,2019,Not Available,Individual,46238.25,Kristinshire
Hawaii,35.91,Kawasaki,FZ V3,100141,2022,621,Electric,70.09,Third,2021,Expired,Dealer,92209.85,Lake Leslie
Maine,16.24,Bajaj,Interceptor 650,302933,2021,190,Petrol,65.9,Third,2024,Expired,Dealer,208555.67,Kennethbury
Missouri,12.85,Royal Enfield,HF Deluxe,165332,2019,779,Hybrid,65.14,Third,2022,Not Available,Individual,97088.7,Reynoldston
Illinois,38.56,Bajaj,Versys 650,212078,2016,478,Petrol,71.3,Third,2019,Active,Individual,93242.63,Owensmouth
Washington,60.86,Yamaha,Ronin,207063,2021,482,Hybrid,66.12,Third,2022,Not Available,Individual,108304.4,Lake Ericview
North Dakota,49.2,Honda,Shine,318131,2020,538,Petrol,55.3,Second,2023,Expired,Dealer,155309.08,New Kevinborough
Kansas,43.99,KTM,Vulcan S,81647,2015,966,Hybrid,65.13,Second,2024,Not Available,Individual,56142.36,Carolynville
Oklahoma,21.78,TVS,Jupiter,185708,2024,842,Electric,59.05,Third,2022,Active,Individual,109669.53,Heatherview
South Carolina,25.33,Royal Enfield,Himalayan,87547,2022,558,Petrol,44.7,Second,2018,Expired,Dealer,30578.91,West Travisstad
Montana,20.11,Royal Enfield,Fascino 125,175327,2019,137,Electric,98.66,Second,2024,Not Available,Individual,65756.69,South Jason
New Hampshire,72.27,Kawasaki,Meteor 350,353705,2016,326,Petrol,45.56,Second,2021,Active,Dealer,247450.1,East Jamie
Iowa,58.67,Kawasaki,Interceptor 650,226838,2016,148,Hybrid,90.23,Second,2021,Expired,Dealer,165806.54,Andrewland
Rhode Island,22.02,TVS,Ray ZR,83195,2022,500,Electric,88.24,Second,2023,Active,Individual,61701.19,Crystalfurt
Arizona,14.63,Honda,Ray ZR,379780,2024,363,Hybrid,79.7,First,2024,Expired,Individual,245852.49,Atkinsborough
Nevada,36.79,Royal Enfield,Hunter 350,347277,2022,771,Hybrid,71.83,Third,2024,Not Available,Dealer,181838.05,East Rebecca
Tennessee,8.3,Kawasaki,Meteor 350,126720,2021,972,Electric,94.42,Third,2023,Expired,Individual,63373.72,Yuborough
Kansas,47.31,TVS,MT-15,264638,2016,718,Hybrid,80.94,Second,2024,Active,Individual,152713.54,West Edwardmouth
Kansas,67.83,Bajaj,Z650,385501,2015,945,Electric,87.49,First,2015,Expired,Individual,259229.69,Leblancburgh
Minnesota,67.63,Kawasaki,Dominar 400,390948,2020,847,Electric,65.01,Second,2024,Active,Dealer,252265.39,South Wanda
Vermont,57.77,Royal Enfield,Unicorn,182725,2015,686,Petrol,31.46,Second,2021,Active,Individual,110390.74,South Jacqueline
New Hampshire,47.55,Honda,Himalayan,116376,2016,721,Hybrid,70.11,First,2018,Not Available,Dealer,66439.04,Lake Robinview
Florida,55.31,Yamaha,CBR 650R,347107,2018,398,Petrol,34.59,Third,2022,Active,Dealer,161180.13,North William
Nevada,67.22,Bajaj,Xtreme 160R,126241,2015,837,Petrol,66.95,Third,2019,Not Available,Individual,112870.6,New Carrieview
Nebraska,66.1,Bajaj,Unicorn,372222,2016,776,Electric,78.61,Third,2016,Expired,Individual,261322.71,Grayburgh
New Hampshire,60.03,KTM,Hunter 350,293141,2019,212,Electric,58.96,First,2021,Expired,Dealer,140767.44,New Lori
Iowa,33.92,KTM,Splendor Plus,298816,2023,338,Petrol,43.62,Second,2024,Active,Dealer,211304.7,Port Sarah
Iowa,66.27,Yamaha,Z650,175016,2020,551,Petrol,34.68,First,2016,Active,Dealer,71359.47,East Edward
Utah,27.12,KTM,Meteor 350,120265,2017,758,Electric,96.82,Second,2020,Not Available,Individual,56152.71,Tranburgh
Wyoming,44.75,Royal Enfield,Ninja 300,267228,2019,404,Electric,47.66,Second,2021,Not Available,Individual,161166.34,East Robin
Oregon,48.48,KTM,Meteor 350,133873,2020,653,Petrol,81.36,Third,2023,Not Available,Dealer,70052.86,Ashleyberg
Vermont,68.25,Honda,Xtreme 160R,146656,2020,826,Hybrid,99.03,Second,2020,Not Available,Individual,102852.13,New Justinberg
Illinois,76.95,TVS,Z650,103517,2022,257,Hybrid,94.5,Third,2015,Not Available,Individual,74591.68,Port Donna
Montana,74.84,Honda,Ray ZR,228461,2016,162,Hybrid,66.66,Second,2022,Expired,Individual,129673.1,North Michael
West Virginia,76.2,KTM,Splendor Plus,144347,2019,715,Petrol,61.93,First,2017,Not Available,Dealer,117632.77,Timothymouth
Illinois,79.09,TVS,FZ V3,299268,2019,612,Petrol,53.74,Third,2022,Not Available,Dealer,150806.61,Carterberg
California,51.83,Kawasaki,Classic 350,143741,2015,311,Hybrid,94.03,First,2015,Active,Dealer,48080.28,Lake Alexisstad
Montana,23.56,Hero,CBR 650R,75530,2018,635,Electric,62.98,Second,2023,Not Available,Dealer,51067.05,Lake Jamesland
West Virginia,28.5,Yamaha,250 Duke,243298,2023,296,Electric,92.12,First,2024,Not Available,Dealer,173992.66,New Gerald
Kentucky,29.82,Hero,Unicorn,60264,2017,879,Petrol,59.5,Second,2023,Active,Dealer,41783.01,North Melindastad
New York,54.69,TVS,Sport,278325,2022,412,Petrol,91.19,First,2016,Active,Dealer,107978.58,East Carriefort
Pennsylvania,30.53,Yamaha,Glamour,182122,2017,517,Hybrid,61.31,Third,2022,Not Available,Dealer,144850.25,Bullocktown
Delaware,57.79,Bajaj,Unicorn,394112,2020,102,Petrol,92.19,First,2017,Expired,Individual,316393.54,West Laurenmouth
Virginia,50.02,KTM,Ronin,195640,2015,346,Hybrid,59.63,Third,2020,Not Available,Individual,177945.39,Fowlerfurt
Mississippi,49.22,Bajaj,Passion Pro,183048,2024,850,Hybrid,89.02,Third,2020,Not Available,Individual,54754.88,West Rachel
Hawaii,39.86,TVS,Jupiter,72466,2019,115,Petrol,32.92,Second,2020,Not Available,Dealer,55444.41,South Phillip
Vermont,76.2,Bajaj,HF Deluxe,194912,2017,506,Hybrid,65.4,Second,2024,Not Available,Individual,157603.77,Kelliberg
Wyoming,51.6,Bajaj,Shine,108312,2020,305,Electric,67.72,First,2023,Expired,Dealer,70405.05,Lake Ashley
Oklahoma,6.52,Hero,Ray ZR,96263,2022,797,Electric,35.37,Third,2024,Active,Individual,78623.05,Townsendhaven
West Virginia,42.69,Bajaj,Avenger 220,72808,2021,629,Hybrid,84.49,Second,2020,Not Available,Dealer,48763.26,Lake Angelaview
Georgia,36.11,Bajaj,390 Adventure,201852,2022,341,Petrol,76.02,Third,2024,Active,Dealer,96454.72,Jenniferfurt
Nevada,21.85,KTM,390 Adventure,231347,2022,530,Hybrid,53.43,Second,2024,Expired,Individual,82923.44,Brandimouth
Tennessee,78.7,Hero,Splendor Plus,189103,2017,926,Electric,51.3,Third,2020,Expired,Individual,144276.24,New Jeffreyberg
Washington,33.57,Hero,Pulsar 150,323594,2022,114,Petrol,70.42,Third,2023,Active,Dealer,187880.86,Mcintoshburgh
North Dakota,33.87,TVS,MT-15,236552,2022,121,Petrol,69.98,Second,2024,Expired,Dealer,169422.38,West Christineborough
Virginia,31.69,Hero,Classic 350,169289,2018,642,Petrol,37.71,Third,2022,Expired,Individual,45974.45,South Emilyhaven
Illinois,34.08,Hero,Avenger 220,221014,2018,210,Hybrid,75.49,Second,2017,Expired,Dealer,86760.32,Deniseport
Washington,77.14,KTM,Ray ZR,283294,2015,266,Hybrid,49.25,First,2017,Not Available,Individual,128533.96,Gregoryshire
Illinois,18.92,Royal Enfield,Meteor 350,197650,2016,499,Electric,53.06,Third,2015,Expired,Individual,97042.19,South Andreaville
West Virginia,36.9,Kawasaki,Z650,196892,2018,159,Petrol,91.54,Third,2018,Active,Individual,170411.04,South Gerald
Ohio,65.47,Honda,R15 V4,371560,2015,283,Hybrid,89.02,Second,2024,Active,Individual,188049.55,Stephenfurt
New Mexico,55.45,TVS,RC 390,127212,2015,938,Electric,93.97,Second,2023,Active,Individual,81752.99,New Crystal
Florida,78.8,KTM,MT-15,259368,2024,204,Petrol,63.68,Third,2020,Not Available,Dealer,138255.76,West Christopher
Utah,77.63,Royal Enfield,Versys 650,159918,2020,795,Petrol,39.97,Third,2021,Active,Dealer,132338.32,South Kevintown
Kentucky,28.94,Yamaha,Splendor Plus,260932,2015,904,Electric,52.57,Second,2023,Active,Dealer,128318.41,Seanmouth
Rhode Island,68.82,Kawasaki,Himalayan,135120,2024,982,Hybrid,63.75,Second,2020,Not Available,Dealer,53733.4,Victorhaven
Virginia,79.15,KTM,Interceptor 650,105460,2020,253,Electric,88.25,First,2017,Expired,Dealer,71822.94,Millerland
Idaho,61.8,Kawasaki,Classic 350,220643,2024,836,Electric,96.93,First,2021,Expired,Individual,132992.62,North Juliashire
Ohio,33.38,TVS,Himalayan,162140,2015,782,Electric,98.44,First,2023,Expired,Dealer,122518.98,Adammouth
Idaho,63.43,Bajaj,Z650,82931,2015,189,Electric,90.56,Third,2018,Not Available,Individual,36034.13,East Catherine
Connecticut,45.48,Hero,Ninja 400,162380,2017,955,Hybrid,88.26,Third,2022,Active,Dealer,96671.79,New Jaytown
Mississippi,34.03,Hero,Activa,157685,2018,136,Electric,71.04,First,2023,Active,Individual,112374.77,Port Angelachester
Wisconsin,22.27,TVS,Shine,125624,2017,397,Petrol,34.53,First,2019,Not Available,Dealer,55597.19,Carterhaven
Michigan,16.2,TVS,Ronin,180326,2017,718,Electric,61.84,Second,2022,Expired,Individual,95059.03,Lake Kevin
Michigan,21.4,TVS,Classic 350,118318,2017,893,Electric,91.59,First,2016,Expired,Individual,117201.4,Bakerberg
Georgia,11.96,Royal Enfield,RC 390,352316,2017,642,Hybrid,69.99,First,2023,Not Available,Individual,276128.92,Matthewberg
Missouri,64.92,Yamaha,Pulsar 150,338743,2024,832,Hybrid,78.47,Second,2018,Not Available,Individual,209383.01,Baileyview
Michigan,28.01,Hero,Pulsar 150,314799,2017,936,Hybrid,71.4,First,2016,Active,Dealer,161281.46,Lake Mary
North Dakota,76.71,Kawasaki,NTorq 125,167622,2016,135,Hybrid,80.08,Second,2022,Not Available,Individual,96488.9,Lake Jacquelinemouth
New York,42.43,Honda,Activa,354078,2023,737,Electric,55.82,Second,2017,Expired,Individual,220836.75,Parksbury
Arizona,77.1,KTM,CBR 650R,137306,2024,832,Electric,71.69,First,2023,Not Available,Individual,58555.98,Lake Johnfurt
Utah,69.22,KTM,Pulsar 150,270580,2020,592,Petrol,33.22,First,2022,Active,Dealer,132050.02,South Charleschester
California,76.3,Bajaj,390 Adventure,347784,2024,549,Electric,81.18,First,2018,Expired,Dealer,220614.2,Simmonsbury
California,9.79,KTM,Fascino 125,177661,2015,177,Petrol,48.42,First,2024,Expired,Dealer,96525.18,Richardmouth
Mississippi,8.7,Bajaj,CBR 650R,74486,2020,417,Hybrid,90.58,Third,2024,Not Available,Individual,57363.25,Rhodesshire
Montana,65.66,Royal Enfield,Pulsar 150,124010,2015,153,Petrol,51.16,Third,2015,Expired,Individual,70585.31,Briannachester
Indiana,56.6,Hero,Dio,359358,2015,751,Petrol,33.29,First,2021,Active,Individual,251649.16,Joditown
North Carolina,71.37,Bajaj,Platina 110,267007,2024,595,Hybrid,60.79,Third,2019,Active,Individual,187923.01,Port Sandraborough
Illinois,42.07,Bajaj,Dominar 400,377074,2021,691,Petrol,57.12,Third,2015,Not Available,Dealer,233281.84,Timothyfort
South Carolina,46.89,Bajaj,250 Duke,265234,2015,332,Electric,66.14,Third,2023,Active,Dealer,224965.5,Mcleanland
Kansas,47.52,Bajaj,Ray ZR,183423,2021,329,Electric,98.31,First,2020,Expired,Individual,138324.71,Melissaland
Oregon,25.72,Yamaha,Ninja 300,333032,2019,492,Electric,75.26,Third,2024,Active,Dealer,180647.83,Seantown
Massachusetts,67.05,Hero,Dio,145834,2022,926,Electric,92.55,Third,2021,Not Available,Dealer,110722.95,Lake Michellebury
New Jersey,79.03,TVS,Passion Pro,148753,2020,542,Hybrid,83.98,First,2024,Expired,Individual,137773.53,East Lindsey
Oklahoma,33.16,Bajaj,Ninja 400,196103,2017,526,Electric,83.1,Third,2020,Not Available,Dealer,153808.89,Jeffreyhaven
New Mexico,28.25,Yamaha,Ray ZR,347271,2016,422,Petrol,31.58,Second,2024,Active,Dealer,185592.86,Lake Tylermouth
Texas,48.57,Yamaha,Fascino 125,269513,2018,533,Electric,91.05,First,2022,Active,Dealer,120513.45,Butlerview
Maine,31.51,Hero,Jupiter,79544,2018,376,Petrol,61.76,First,2016,Expired,Dealer,42762.26,Taylorton
Illinois,47.89,Yamaha,Versys 650,202270,2024,517,Electric,65.74,Second,2024,Expired,Dealer,191711.0,Shelbyfort
Idaho,47.86,TVS,Avenger 220,280617,2019,322,Electric,93.81,Second,2023,Expired,Dealer,188589.36,Stokesville
Minnesota,61.76,Honda,Meteor 350,126236,2015,436,Hybrid,90.98,Third,2022,Expired,Dealer,94221.39,New Kellyland
Maine,17.88,Bajaj,125 Duke,223132,2022,848,Electric,90.98,First,2022,Not Available,Individual,120713.26,West Robertmouth
California,19.11,Royal Enfield,Ninja 300,250351,2016,430,Hybrid,75.12,First,2022,Active,Individual,166291.93,Smithport
New Hampshire,9.91,Royal Enfield,Sport,50524,2017,674,Petrol,57.2,First,2023,Active,Dealer,23635.73,Merrittmouth
Wyoming,8.24,Honda,R15 V4,361358,2015,675,Petrol,78.57,Third,2024,Active,Dealer,245232.59,Jonathanborough
Missouri,42.13,Honda,Apache RTR 160,219928,2019,188,Petrol,53.37,First,2024,Not Available,Dealer,167836.01,Clarkchester
Idaho,32.59,TVS,Hunter 350,167318,2015,768,Electric,57.39,Second,2016,Active,Dealer,59905.18,Prattside
Idaho,67.92,Hero,390 Adventure,95705,2021,723,Petrol,38.12,Third,2024,Not Available,Dealer,62966.47,Tarashire
Maryland,76.86,Yamaha,Ninja 400,357399,2018,481,Hybrid,56.17,Third,2016,Active,Individual,228332.4,North Vanessafort
Kentucky,15.88,TVS,Passion Pro,238337,2018,788,Hybrid,50.72,Third,2017,Active,Individual,142967.45,Lake Lauraberg
Maine,48.14,Kawasaki,Versys 650,132299,2017,330,Petrol,53.07,Second,2021,Active,Dealer,56223.59,Terrytown
Minnesota,54.69,Yamaha,CT 100,119638,2020,648,Petrol,35.76,Second,2021,Active,Dealer,93874.26,Christopherstad
Montana,51.15,Honda,NTorq 125,339192,2022,532,Hybrid,58.19,First,2016,Expired,Dealer,189255.73,New Shelby
Arizona,25.0,Bajaj,Unicorn,378981,2023,936,Hybrid,87.29,Second,2022,Active,Dealer,258813.24,Brownchester
Idaho,21.79,Yamaha,Activa,338948,2021,417,Petrol,55.52,Second,2024,Not Available,Dealer,238478.0,North Rodney
Arkansas,7.98,Hero,R15 V4,139518,2020,875,Electric,95.28,Third,2022,Active,Dealer,95934.18,Cherylbury
Massachusetts,10.95,Kawasaki,HF Deluxe,54587,2020,576,Electric,89.12,First,2020,Active,Individual,28546.19,Henrybury
Texas,24.17,Yamaha,Classic 350,285177,2020,867,Electric,74.1,Second,2023,Active,Individual,109529.23,Glennfurt
