State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Missouri,34.04,TVS,Pulsar 150,62299,2015,296,Hybrid,92.52,First,2023,Active,Individual,126882.05,Heidimouth
Kentucky,41.69,KTM,Shine,183763,2016,790,Hybrid,83.62,Third,2024,Active,Dealer,30367.34,West Tammy
New Hampshire,57.13,KTM,NTorq 125,267331,2016,547,Electric,64.56,Third,2023,Not Available,Individual,188985.37,Lake Alexis
Florida,6.12,Kawasaki,Xtreme 160R,57025,2017,898,Hybrid,90.66,Second,2022,Expired,Dealer,169617.59,East Barbarafurt
Virginia,45.07,Hero,Dio,145311,2022,308,Petrol,82.41,Third,2020,Not Available,Individual,164461.93,East Christineberg
Rhode Island,25.69,Yamaha,FZ V3,75927,2016,901,Petrol,85.18,First,2019,Expired,Individual,152699.4,North Hollyshire
Missouri,63.98,Kawasaki,Splendor Plus,249564,2022,688,Petrol,37.01,Third,2022,Active,Individual,122999.41,East Randallmouth
New Jersey,8.44,KTM,Glamour,62530,2015,634,Hybrid,84.87,Second,2023,Not Available,Individual,156288.87,West Jason
Kentucky,7.88,Kawasaki,250 Duke,346887,2020,507,Petrol,88.02,Third,2024,Not Available,Individual,49673.46,Olsonberg
Vermont,19.64,Yamaha,Pulsar 150,74205,2018,515,Hybrid,46.34,First,2024,Expired,Individual,180158.16,West Virginia
Idaho,57.31,KTM,Versys 650,149774,2015,861,Hybrid,82.33,First,2017,Active,Dealer,246207.09,Terrimouth
Texas,11.65,TVS,FZ V3,95092,2019,796,Electric,66.1,Third,2024,Active,Individual,98471.92,West Feliciastad
Oklahoma,11.14,Kawasaki,Ray ZR,142063,2016,606,Petrol,33.73,Third,2024,Expired,Individual,36637.81,Milestown
Indiana,63.76,Bajaj,Jupiter,364859,2015,296,Hybrid,46.79,First,2021,Active,Dealer,218393.12,Lake Mary
Oklahoma,63.26,KTM,Himalayan,78571,2015,265,Petrol,68.54,First,2020,Active,Individual,91977.39,East Samuel
California,26.91,KTM,Glamour,169550,2015,491,Petrol,99.68,Third,2021,Expired,Individual,31691.3,Diazmouth
Alabama,7.92,TVS,Ninja 400,101880,2020,343,Hybrid,84.45,First,2023,Expired,Dealer,122409.86,North Rachelmouth
Kentucky,54.06,TVS,NTorq 125,301484,2019,674,Electric,77.4,First,2015,Expired,Individual,131928.13,Lake Amanda
