Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
2023-12-31,Alice,North,2667.9,46,Clothing,1731.23,3109.098494853781,New,0.15,Credit Card,Retail,West-Bob
2023-12-02,Eve,South,9971.6,48,Electronics,64.47,167.12,Returning,0.12,Bank Transfer,Online,West-Alice
2023-01-01,Charlie,East,9829.39,47,Food,157.11,5364.590199162928,New,0.17,Credit Card,Retail,East-David
2023-12-22,Charlie,North,9914.35,34,Electronics,4937.14,5223.717857841256,New,0.0,Bank Transfer,Online,South-David
2023-12-03,Charlie,East,9914.61,48,Electronics,180.65,5022.584606899795,New,0.02,Credit Card,Retail,North-Alice
2023-01-01,Alice,South,810.82,3,Clothing,2757.79,5068.629078554347,New,0.12,Credit Card,Online,South-Bob
2023-01-03,Alice,North,7245.97,2,Clothing,3402.25,5275.540038739815,New,0.19,Bank Transfer,Online,North-Bob
2023-07-14,Eve,South,147.63,19,Furniture,4955.01,4930.350111206757,Returning,0.16,Bank Transfer,Retail,East-David
2023-12-20,Bob,North,106.18,37,Electronics,276.45,2676.876813138333,Returning,0.19,Bank Transfer,Online,South-David
2023-12-24,Charlie,East,9860.37,15,Electronics,429.35,1930.4664331350994,New,0.02,Credit Card,Retail,North-Charlie
2023-09-04,Charlie,West,3665.42,29,Food,4308.1,3785.188006133917,New,0.01,Credit Card,Retail,West-Eve
2023-01-01,Charlie,South,9969.26,11,Food,60.31,5404.505589353227,Returning,0.04,Bank Transfer,Online,North-Eve
2023-12-31,David,North,5836.0,49,Clothing,60.28,4432.857049845119,Returning,0.01,Bank Transfer,Retail,South-Eve
2023-05-28,Charlie,North,7689.85,47,Electronics,828.4,5430.055198559706,Returning,0.03,Bank Transfer,Retail,East-Eve
2023-12-28,David,South,9968.36,49,Furniture,4475.54,5286.49419572024,New,0.01,Bank Transfer,Retail,East-Bob
2023-11-15,Bob,North,9920.85,48,Food,60.31,3190.5535145843196,Returning,0.0,Bank Transfer,Online,South-Alice
2023-11-01,Eve,West,9944.43,48,Clothing,644.59,5401.150896261164,Returning,0.01,Bank Transfer,Online,South-Charlie
2023-04-03,Charlie,South,9570.91,48,Clothing,130.6,4986.121248372252,New,0.01,Credit Card,Retail,South-David
